Linha,Linha nome,Itinerário,Sentido
223,BARRA / PALHOÇA - PONTE DO IMARUIM VIA PACHECOS,ITI VOLTA - COLÉGIO CLAUDETE,PC2
223,BARRA / PALHOÇA - PONTE DO IMARUIM VIA PACHECOS,ITI VOLTA - ESCOLA MUNIC PH /,PC2
223,BARRA / PALHOÇA - PONTE DO IMARUIM VIA PACHECOS,ITI VOLTA - PALHOÇA (CAIXA,PC2
223,BARRA / PALHOÇA - PONTE DO IMARUIM VIA PACHECOS,ITI VOLTA - PONTE DO,PC2
230,PALHOCA / CEASA VIA MARGINAL BR 101,ITI VOLTA - CEASA / PALHOÇA,PC2
233,BARRA / CID UNIVERSITÁRIA - IFSC VIA RIO GRANDE,ITI IDA - BARRA / CID UNIV VIA,PC1
233,BARRA / CID UNIVERSITÁRIA - IFSC VIA RIO GRANDE,ITI IDA - PEDREGAL / IFSC VIA P.,PC1
233,BARRA / CID UNIVERSITÁRIA - IFSC VIA RIO GRANDE,ITI VOLTA - CID UNIV / BARRA,PC2
240,SÃO SEB / FPOLIS VIA P.VINTE/P.IMARUIM/I.SILVEIRA,ITI VOLTA - FLORIANÓPOLIS /,PC2
242,SÃO SEB / FPOLIS VIA P.VINTE/AV TORRES/BR/HOSP/I.S,ITI IDA - SAO SEB / FPOLIS VIA,PC1
242,SÃO SEB / FPOLIS VIA P.VINTE/AV TORRES/BR/HOSP/I.S,ITI VOLTA - FPOLIS / SÃO SEB,PC2
243,PALHOÇA / SHOP CONT VIA P.IMARUIM/BR101/VIAD,ITI IDA - PALHOÇA / SHOP,PC1
244,MADRI / FPOLIS VIA PAGANI/BR 101/EXPRESSA/IVO SILV,ITI IDA - IGREJA EVANG / FPOLIS,PC1
245,SÃO SEBASTIÃO / SÃO JOSÉ VIA P.VINTE/P.IMARUIM,ITI IDA - SÃO SEBASTIÃO / SHP,PC1
246,SÃO SEB / FPOLIS VIA MADRI/P.IMARUIM/IVO SILVEIRA,ITI IDA - SÃO SEBASTIÃO /,PC1
246,SÃO SEB / FPOLIS VIA MADRI/P.IMARUIM/IVO SILVEIRA,ITI VOLTA - FPOLIS / SÃO,PC2
247,I.EVANG / FPOLIS VIA PV/MARG/AV TORRES/EXP/I.SILV,ITI IDA - IGREJA EVANG / FPOLIS,PC1
247,I.EVANG / FPOLIS VIA PV/MARG/AV TORRES/EXP/I.SILV,ITI VOLTA - FPOLIS / SÃO,PC2
248,SÃO SEB / FPOLIS VIA MADRI/AV TORRES/BR/EXP/I.SILV,ITI IDA - SÃO SEB / FPOLIS VIA,PC1
248,SÃO SEB / FPOLIS VIA MADRI/AV TORRES/BR/EXP/I.SILV,ITI VOLTA - FPOLIS / SÃO SEB,PC2
